date,currency,usd_rate,source
2023-06-24,USD,1.000000,ecb_frankfurter
2023-06-24,GBP,1.273301,ecb_frankfurter
2023-06-24,EUR,1.088400,ecb_frankfurter
2023-06-24,CAD,0.756888,ecb_frankfurter
2023-06-25,USD,1.000000,ecb_frankfurter
2023-06-25,GBP,1.273301,ecb_frankfurter
2023-06-25,EUR,1.088400,ecb_frankfurter
2023-06-25,CAD,0.756888,ecb_frankfurter
2023-06-26,USD,1.000000,ecb_frankfurter
2023-06-26,GBP,1.271343,ecb_frankfurter
2023-06-26,EUR,1.091798,ecb_frankfurter
2023-06-26,CAD,0.760630,ecb_frankfurter
2023-06-27,USD,1.000000,ecb_frankfurter
2023-06-27,GBP,1.273512,ecb_frankfurter
2023-06-27,EUR,1.095098,ecb_frankfurter
2023-06-27,CAD,0.760052,ecb_frankfurter
2023-06-28,USD,1.000000,ecb_frankfurter
2023-06-28,GBP,1.265679,ecb_frankfurter
2023-06-28,EUR,1.093805,ecb_frankfurter
2023-06-28,CAD,0.754831,ecb_frankfurter
2023-06-29,USD,1.000000,ecb_frankfurter
2023-06-29,GBP,1.265967,ecb_frankfurter
2023-06-29,EUR,1.093805,ecb_frankfurter
2023-06-29,CAD,0.754205,ecb_frankfurter
2023-06-30,USD,1.000000,ecb_frankfurter
2023-06-30,GBP,1.266015,ecb_frankfurter
2023-06-30,EUR,1.086602,ecb_frankfurter
2023-06-30,CAD,0.753807,ecb_frankfurter
2023-07-01,USD,1.000000,ecb_frankfurter
2023-07-01,GBP,1.266015,ecb_frankfurter
2023-07-01,EUR,1.086602,ecb_frankfurter
2023-07-01,CAD,0.753807,ecb_frankfurter
2023-07-02,USD,1.000000,ecb_frankfurter
2023-07-02,GBP,1.266015,ecb_frankfurter
2023-07-02,EUR,1.086602,ecb_frankfurter
2023-07-02,CAD,0.753807,ecb_frankfurter
2023-07-03,USD,1.000000,ecb_frankfurter
2023-07-03,GBP,1.267620,ecb_frankfurter
2023-07-03,EUR,1.089894,ecb_frankfurter
2023-07-03,CAD,0.754717,ecb_frankfurter
2023-07-04,USD,1.000000,ecb_frankfurter
2023-07-04,GBP,1.271698,ecb_frankfurter
2023-07-04,EUR,1.089503,ecb_frankfurter
2023-07-04,CAD,0.756430,ecb_frankfurter
2023-07-05,USD,1.000000,ecb_frankfurter
2023-07-05,GBP,1.269648,ecb_frankfurter
2023-07-05,EUR,1.087903,ecb_frankfurter
2023-07-05,CAD,0.753012,ecb_frankfurter
2023-07-06,USD,1.000000,ecb_frankfurter
2023-07-06,GBP,1.277580,ecb_frankfurter
2023-07-06,EUR,1.089894,ecb_frankfurter
2023-07-06,CAD,0.752219,ecb_frankfurter
2023-07-07,USD,1.000000,ecb_frankfurter
2023-07-07,GBP,1.276471,ecb_frankfurter
2023-07-07,EUR,1.088803,ecb_frankfurter
2023-07-07,CAD,0.747943,ecb_frankfurter
2023-07-08,USD,1.000000,ecb_frankfurter
2023-07-08,GBP,1.276471,ecb_frankfurter
2023-07-08,EUR,1.088803,ecb_frankfurter
2023-07-08,CAD,0.747943,ecb_frankfurter
2023-07-09,USD,1.000000,ecb_frankfurter
2023-07-09,GBP,1.276471,ecb_frankfurter
2023-07-09,EUR,1.088803,ecb_frankfurter
2023-07-09,CAD,0.747943,ecb_frankfurter
2023-07-10,USD,1.000000,ecb_frankfurter
2023-07-10,GBP,1.277923,ecb_frankfurter
2023-07-10,EUR,1.095602,ecb_frankfurter
2023-07-10,CAD,0.752899,ecb_frankfurter
2023-07-11,USD,1.000000,ecb_frankfurter
2023-07-11,GBP,1.291156,ecb_frankfurter
2023-07-11,EUR,1.098901,ecb_frankfurter
2023-07-11,CAD,0.753296,ecb_frankfurter
2023-07-12,USD,1.000000,ecb_frankfurter
2023-07-12,GBP,1.290972,ecb_frankfurter
2023-07-12,EUR,1.102196,ecb_frankfurter
2023-07-12,CAD,0.756258,ecb_frankfurter
2023-07-13,USD,1.000000,ecb_frankfurter
2023-07-13,GBP,1.307019,ecb_frankfurter
2023-07-13,EUR,1.118206,ecb_frankfurter
2023-07-13,CAD,0.759936,ecb_frankfurter
2023-07-14,USD,1.000000,ecb_frankfurter
2023-07-14,GBP,1.311011,ecb_frankfurter
2023-07-14,EUR,1.122095,ecb_frankfurter
2023-07-14,CAD,0.761905,ecb_frankfurter
2023-07-15,USD,1.000000,ecb_frankfurter
2023-07-15,GBP,1.311011,ecb_frankfurter
2023-07-15,EUR,1.122095,ecb_frankfurter
2023-07-15,CAD,0.761905,ecb_frankfurter
2023-07-16,USD,1.000000,ecb_frankfurter
2023-07-16,GBP,1.311011,ecb_frankfurter
2023-07-16,EUR,1.122095,ecb_frankfurter
2023-07-16,CAD,0.761905,ecb_frankfurter
2023-07-17,USD,1.000000,ecb_frankfurter
2023-07-17,GBP,1.307754,ecb_frankfurter
2023-07-17,EUR,1.123002,ecb_frankfurter
2023-07-17,CAD,0.756487,ecb_frankfurter
2023-07-18,USD,1.000000,ecb_frankfurter
2023-07-18,GBP,1.311183,ecb_frankfurter
2023-07-18,EUR,1.125505,ecb_frankfurter
2023-07-18,CAD,0.757289,ecb_frankfurter
2023-07-19,USD,1.000000,ecb_frankfurter
2023-07-19,GBP,1.291106,ecb_frankfurter
2023-07-19,EUR,1.122196,ecb_frankfurter
2023-07-19,CAD,0.758495,ecb_frankfurter
2023-07-20,USD,1.000000,ecb_frankfurter
2023-07-20,GBP,1.288195,ecb_frankfurter
2023-07-20,EUR,1.119695,ecb_frankfurter
2023-07-20,CAD,0.760861,ecb_frankfurter
2023-07-21,USD,1.000000,ecb_frankfurter
2023-07-21,GBP,1.282841,ecb_frankfurter
2023-07-21,EUR,1.112298,ecb_frankfurter
2023-07-21,CAD,0.758323,ecb_frankfurter
2023-07-22,USD,1.000000,ecb_frankfurter
2023-07-22,GBP,1.282841,ecb_frankfurter
2023-07-22,EUR,1.112298,ecb_frankfurter
2023-07-22,CAD,0.758323,ecb_frankfurter
2023-07-23,USD,1.000000,ecb_frankfurter
2023-07-23,GBP,1.282841,ecb_frankfurter
2023-07-23,EUR,1.112298,ecb_frankfurter
2023-07-23,CAD,0.758323,ecb_frankfurter
2023-07-24,USD,1.000000,ecb_frankfurter
2023-07-24,GBP,1.285000,ecb_frankfurter
2023-07-24,EUR,1.109595,ecb_frankfurter
2023-07-24,CAD,0.758208,ecb_frankfurter
2023-07-25,USD,1.000000,ecb_frankfurter
2023-07-25,GBP,1.282791,ecb_frankfurter
2023-07-25,EUR,1.105094,ecb_frankfurter
2023-07-25,CAD,0.758898,ecb_frankfurter
2023-07-26,USD,1.000000,ecb_frankfurter
2023-07-26,GBP,1.290506,ecb_frankfurter
2023-07-26,EUR,1.105901,ecb_frankfurter
2023-07-26,CAD,0.756430,ecb_frankfurter
2023-07-27,USD,1.000000,ecb_frankfurter
2023-07-27,GBP,1.295337,ecb_frankfurter
2023-07-27,EUR,1.112496,ecb_frankfurter
2023-07-27,CAD,0.759186,ecb_frankfurter
2023-07-28,USD,1.000000,ecb_frankfurter
2023-07-28,GBP,1.286819,ecb_frankfurter
2023-07-28,EUR,1.100994,ecb_frankfurter
2023-07-28,CAD,0.756544,ecb_frankfurter
2023-07-29,USD,1.000000,ecb_frankfurter
2023-07-29,GBP,1.286819,ecb_frankfurter
2023-07-29,EUR,1.100994,ecb_frankfurter
2023-07-29,CAD,0.756544,ecb_frankfurter
2023-07-30,USD,1.000000,ecb_frankfurter
2023-07-30,GBP,1.286819,ecb_frankfurter
2023-07-30,EUR,1.100994,ecb_frankfurter
2023-07-30,CAD,0.756544,ecb_frankfurter
2023-07-31,USD,1.000000,ecb_frankfurter
2023-07-31,GBP,1.285264,ecb_frankfurter
2023-07-31,EUR,1.102305,ecb_frankfurter
2023-07-31,CAD,0.756773,ecb_frankfurter
2023-08-01,USD,1.000000,ecb_frankfurter
2023-08-01,GBP,1.277580,ecb_frankfurter
2023-08-01,EUR,1.096996,ecb_frankfurter
2023-08-01,CAD,0.752955,ecb_frankfurter
2023-08-02,USD,1.000000,ecb_frankfurter
2023-08-02,GBP,1.276764,ecb_frankfurter
2023-08-02,EUR,1.098503,ecb_frankfurter
2023-08-02,CAD,0.751315,ecb_frankfurter
2023-08-03,USD,1.000000,ecb_frankfurter
2023-08-03,GBP,1.264286,ecb_frankfurter
2023-08-03,EUR,1.093195,ecb_frankfurter
2023-08-03,CAD,0.747775,ecb_frankfurter
2023-08-04,USD,1.000000,ecb_frankfurter
2023-08-04,GBP,1.269938,ecb_frankfurter
2023-08-04,EUR,1.094595,ecb_frankfurter
2023-08-04,CAD,0.747272,ecb_frankfurter
2023-08-05,USD,1.000000,ecb_frankfurter
2023-08-05,GBP,1.269938,ecb_frankfurter
2023-08-05,EUR,1.094595,ecb_frankfurter
2023-08-05,CAD,0.747272,ecb_frankfurter
2023-08-06,USD,1.000000,ecb_frankfurter
2023-08-06,GBP,1.269938,ecb_frankfurter
2023-08-06,EUR,1.094595,ecb_frankfurter
2023-08-06,CAD,0.747272,ecb_frankfurter
2023-08-07,USD,1.000000,ecb_frankfurter
2023-08-07,GBP,1.274795,ecb_frankfurter
2023-08-07,EUR,1.098394,ecb_frankfurter
2023-08-07,CAD,0.747831,ecb_frankfurter
2023-08-08,USD,1.000000,ecb_frankfurter
2023-08-08,GBP,1.270228,ecb_frankfurter
2023-08-08,EUR,1.094403,ecb_frankfurter
2023-08-08,CAD,0.741730,ecb_frankfurter
2023-08-09,USD,1.000000,ecb_frankfurter
2023-08-09,GBP,1.272686,ecb_frankfurter
2023-08-09,EUR,1.096804,ecb_frankfurter
